F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000    6524    3634  0  80   0 -  5835 do_wai pts/1    00:00:00 bash
4 R  1000    6772    6524  0  80   0 -  5012 -      pts/1    00:00:00 ps
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S   125    1609    1603  1  80   0 - 129233 -     tty1     00:00:09 Xorg
0 S   125    2007    1603  0  80   0 -  1324 -      tty1     00:00:00 dbus-run-sessio
0 S   125    2008    2007  0  80   0 -  1887 -      tty1     00:00:00 dbus-daemon
0 S   125    2009    2007  0  80   0 - 105246 -     tty1     00:00:00 gnome-session-b
0 S   125    2013       1  0  80   0 - 77388 -      tty1     00:00:00 at-spi-bus-laun
0 S   125    2018    2013  0  80   0 -  1812 -      tty1     00:00:00 dbus-daemon
0 S   125    2041    2009  0  80   0 - 1057325 -    tty1     00:00:01 gnome-shell
0 S   125    2060    2041  0  80   0 - 80801 -      tty1     00:00:00 ibus-daemon
0 S   125    2063    2060  0  80   0 - 43731 -      tty1     00:00:00 ibus-memconf
0 S   125    2066       1  0  80   0 - 49768 -      tty1     00:00:00 ibus-x11
0 S   125    2068       1  0  80   0 - 62181 -      tty1     00:00:00 ibus-portal
0 S   125    2078       1  0  80   0 - 40710 -      tty1     00:00:00 at-spi2-registr
0 S   125    2082       1  0  80   0 - 61058 -      tty1     00:00:00 xdg-permission-
0 S   125    2094       1  0  80   0 - 734723 -     tty1     00:00:00 gjs
0 S   125    2109       1  0  80   0 - 39026 -      tty1     00:00:00 dconf-service
0 S   125    2112    2009  0  80   0 - 119371 -     tty1     00:00:00 gsd-sharing
0 S   125    2114    2009  0  80   0 - 67504 -      tty1     00:00:00 gsd-wacom
0 S   125    2115    2009  0  80   0 - 108143 -     tty1     00:00:00 gsd-color
0 S   125    2116    2009  0  80   0 - 86736 -      tty1     00:00:00 gsd-keyboard
0 S   125    2117    2009  0  80   0 - 64183 -      tty1     00:00:00 gsd-print-notif
0 S   125    2119    2009  0  80   0 - 116434 -     tty1     00:00:00 gsd-rfkill
0 S   125    2120    2009  0  80   0 - 81646 -      tty1     00:00:00 gsd-smartcard
0 S   125    2121    2009  0  80   0 - 95717 -      tty1     00:00:00 gsd-datetime
0 S   125    2125    2009  0  80   0 - 172439 -     tty1     00:00:00 gsd-media-keys
0 S   125    2130    2009  0  80   0 - 61036 -      tty1     00:00:00 gsd-screensaver
0 S   125    2132    2009  0  80   0 - 82572 -      tty1     00:00:00 gsd-sound
0 S   125    2133    2060  0  80   0 - 43762 -      tty1     00:00:00 ibus-engine-sim
0 S   125    2137    2009  0  80   0 - 80606 -      tty1     00:00:00 gsd-a11y-settin
0 S   125    2144    2009  0  80   0 - 80677 -      tty1     00:00:00 gsd-housekeepin
0 S   125    2149    2009  0  80   0 - 105428 -     tty1     00:00:00 gsd-power
0 S   125    2173       1  0  80   0 - 87704 -      tty1     00:00:00 gsd-printer
4 S  1000    2328    2326  4  80   0 - 135441 ep_pol tty2    00:00:24 Xorg
0 S  1000    2415    2326  0  80   0 - 49825 do_sys tty2     00:00:00 gnome-session-b
0 S  1000    5998    3642  0  80   0 -  8940 do_sys pts/0    00:00:00 honcho
1 S  1000    6004    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6005    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6006    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6008    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6010    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6013    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6018    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
1 S  1000    6022    5998  0  80   0 - 27373 pipe_r pts/0    00:00:00 honcho
4 R  1000    6806    6524  0  80   0 -  5012 -      pts/1    00:00:00 ps
